1,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,10,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
AnimeFreak,3,2,2,3,0,2,13,240,250,94,36,AnimeFreak,2,3,1,3,0,5,6,384,442,150,48,AnimeFreak,3,2,3,3,0,4,29,515,413,164,39,AnimeFreak,2,3,2,3,0,3,47,429,319,127,42,AnimeFreak,2,3,1,3,0,4,8,328,463,190,44,AnimeFreak,3,2,1,3,0,3,49,496,420,154,50,AnimeFreak,4,1,2,3,0,2,7,309,299,127,36,AnimeFreak,3,2,3,3,0,3,41,224,347,160,40,AnimeFreak,2,3,2,3,0,3,38,382,442,185,53,AnimeFreak,4,1,1,3,0,2,14,305,316,135,44
Anonano,3,2,3,3,0,2,51,228,340,164,36,Anonano,Lt,3,,,,,,,,,,Anonano,2,3,6,3,0,5,17,644,439,179,31,Anonano,2,3,4,3,0,5,15,525,410,145,43,Anonano,1,4,6,2,0,4,50,524,376,141,28,Anonano,4,1,3,3,0,3,54,379,341,173,42,Anonano,1,4,6,1,0,3,19,466,195,195,40,Anonano,1,4,6,2,0,3,1,473,284,121,39,Anonano,3,2,5,3,0,4,32,563,377,133,37,Anonano,No,0,,,,,,,,,
Ashen,No,0,,,,,,,,,,Ashen,2,3,3,3,0,5,19,333,452,201,29,Ashen,3,2,4,3,0,6,49,369,634,230,22,Ashen,4,1,1,3,0,1,28,186,247,120,34,Ashen,2,3,5,3,0,4,8,439,439,213,29,Ashen,3,2,2,3,0,3,26,250,401,142,16,Ashen,2,3,5,3,0,4,33,364,413,145,32,Ashen,2,3,4,3,0,4,50,301,446,178,45,Ashen,3,2,3,3,0,3,8,197,331,162,28,Ashen,4,1,0,3,0,3,3,128,408,155,28
Ben!,1,4,3,2,0,3,35,261,382,193,31,Ben!,3,2,1,3,0,3,53,320,334,121,30,Ben!,1,4,2,2,0,5,8,367,395,180,28,Ben!,4,1,2,3,0,3,28,254,375,137,29,Ben!,1,4,8,2,0,4,25,554,349,142,46,Ben!,2,3,6,3,0,4,17,479,483,174,31,Ben!,1,,5,2,0,3,21,422,289,130,51,Ben!,2,3,5,3,0,5,46,671,481,176,37,Ben!,2,3,5,3,0,3,35,380,324,125,28,Ben!,2,3,4,3,0,3,14,371,321,120,35
Brosafat,2,3,0,3,0,3,20,333,319,137,39,Brosafat,3,2,3,3,0,3,18,423,410,145,37,Brosafat,2,3,1,3,0,4,51,458,466,139,43,Brosafat,1,4,5,2,0,3,30,338,314,134,42,Brosafat,3,2,1,3,0,2,38,329,319,152,36,Brosafat,4,1,1,3,0,3,23,332,396,171,36,Brosafat,4,,0,3,0,2,23,216,357,168,36,Brosafat,4,1,1,3,0,1,50,249,289,133,41,Brosafat,3,2,5,3,0,3,8,297,317,121,46,Brosafat,1,4,5,2,0,5,2,402,383,164,45
Caceorte,Lt,3,,,,,,,,,,Caceorte,2,3,2,3,0,6,22,370,415,151,18,Caceorte,3,2,1,3,0,4,1,214,406,159,31,Caceorte,4,1,2,3,0,3,38,288,375,159,28,Caceorte,3,2,1,3,0,1,51,222,283,107,35,Caceorte,2,3,2,3,0,4,12,509,340,131,31,Caceorte,2,,1,3,0,4,55,256,464,180,24,Caceorte,3,2,4,3,0,3,58,397,355,137,30,Caceorte,2,3,0,2,0,7,0,368,437,166,16,Caceorte,4,1,3,3,0,6,0,299,444,184,22
CrunX,1,4,2,1,0,3,32,413,254,157,45,CrunX,2,3,4,3,0,3,2,394,297,149,40,CrunX,2,3,4,3,0,3,29,244,396,167,35,CrunX,3,2,1,3,0,2,37,165,392,142,35,CrunX,No,0,,,,,,,,,,CrunX,2,3,2,3,0,4,6,269,363,142,33,CrunX,No,,,,,,,,,,,CrunX,No,0,,,,,,,,,,CrunX,1,4,6,2,0,5,27,438,430,189,40,CrunX,No,0,,,,,,,,,
Dragnmastr,Lt,3,,,,,,,,,,Dragnmastr,1,4,6,2,0,6,22,465,321,172,37,Dragnmastr,2,3,3,3,0,3,39,242,433,184,30,Dragnmastr,3,2,3,3,0,4,50,237,373,128,29,Dragnmastr,No,0,,,,,,,,,,Dragnmastr,3,2,2,3,0,3,38,271,372,148,29,Dragnmastr,1,,4,1,0,2,43,310,239,180,53,Dragnmastr,3,2,2,3,0,4,38,450,419,159,57,Dragnmastr,3,2,2,3,0,3,11,271,304,120,35,Dragnmastr,No,0,,,,,,,,,
EliteVetrn,3,2,3,3,0,3,22,251,284,151,28,EliteVetrn,2,3,2,3,0,5,5,184,394,178,21,EliteVetrn,4,1,1,3,0,4,1,224,356,135,26,EliteVetrn,2,3,1,3,0,5,28,251,469,167,26,EliteVetrn,3,2,1,3,0,3,40,153,298,110,29,EliteVetrn,2,3,1,3,0,3,46,248,400,151,33,EliteVetrn,1,,4,2,0,4,55,248,301,121,23,EliteVetrn,1,4,2,2,0,4,38,377,465,166,30,EliteVetrn,4,1,1,3,0,2,37,158,256,158,27,EliteVetrn,4,1,0,3,0,3,34,235,341,121,34
Forcecastr,1,4,5,2,0,5,5,516,402,153,33,Forcecastr,1,4,5,2,0,5,5,686,298,201,31,Forcecastr,4,1,0,3,0,2,29,221,261,120,30,Forcecastr,4,1,1,3,0,3,9,455,268,152,34,Forcecastr,1,4,3,2,0,4,1,512,323,137,53,Forcecastr,1,4,7,2,0,3,46,611,285,108,49,Forcecastr,1,,5,2,0,4,55,541,344,126,37,Forcecastr,3,2,2,3,0,3,32,510,391,148,35,Forcecastr,4,1,4,3,0,5,6,472,444,185,44,Forcecastr,1,4,5,2,0,4,37,433,315,202,29
