1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
JediMaster,4,2,3,0,2,32,228,308,111,37,CDJ,3,2,3,0,3,32,233,313,133,40,MM500,4,1,3,0,1,44,160,283,154,25,Precision,1,5,2,0,3,18,528,253,117,47,Fox,4,3,3,0,2,31,320,327,123,35,Szeth,4,1,3,0,3,57,443,342,149,33,Elite V,3,1,3,0,3,3,205,318,148,32,Zero,1,3,1,0,2,52,294,227,124,41,Zenith,3,2,3,0,3,27,395,328,119,41
Zero,1,4,1,0,4,3,375,233,157,57,Zenith,1,4,2,0,3,44,531,347,160,44,King,3,3,3,0,2,29,338,386,163,39,Fox,3,2,3,0,1,59,181,350,127,25,MM500,2,2,3,0,3,21,395,355,144,38,Zenith,2,8,2,0,4,14,430,522,216,29,Precision,1,6,1,0,5,22,605,239,121,43,Fox,2,5,3,0,2,52,360,320,126,32,Ben,4,2,3,0,2,34,182,356,131,39
Szeth,3,2,3,0,3,2,257,340,140,41,Fox,2,2,3,0,3,44,316,317,133,29,Nemesis,2,4,3,0,2,52,292,318,141,46,XY-10,4,0,3,0,1,46,132,345,160,34,STABBY_M,3,1,3,0,2,49,328,351,174,33,Sheik,1,1,2,0,4,14,372,379,226,29,Zero,2,3,3,0,5,22,369,451,196,39,Elite V,3,1,3,0,2,45,173,414,165,28,thread.spk,2,1,3,0,4,27,283,424,179,38
Fox,2,2,3,0,4,3,345,442,171,30,Samoose,2,3,3,0,4,29,442,391,144,41,Zenith,1,2,1,0,2,52,304,173,128,36,Force,2,4,3,0,3,18,385,348,116,42,KingONerds,1,5,2,0,3,21,270,355,176,32,JediMaster,3,0,3,0,4,14,255,380,153,21,Elegance,4,0,3,0,2,23,85,284,126,46,JediMaster,4,1,3,0,2,30,271,322,136,39,Force,0,6,2,0,4,27,539,375,186,47
King,1,1,2,0,3,55,178,375,161,32,MM500,1,5,2,0,4,29,645,360,162,44,JediMaster,4,2,3,0,2,6,109,228,120,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDJ,2,7,3,0,3,55,380,345,125,48,AnimeFreak,4,2,3,0,3,35,326,430,192,39,Elegance,3,2,3,0,2,47,192,339,127,30,Samoose,4,0,3,0,3,11,230,309,112,24,Sheik,2,1,3,0,4,9,373,353,137,44,Zero,1,3,2,0,4,27,268,325,177,31,GLORFINDEL,3,3,3,0,4,4,312,458,165,31,STABBY_M,3,2,3,0,3,25,303,380,199,32,PLSNERF,3,3,3,0,2,56,346,321,111,37
KingONerds,3,3,3,0,3,28,244,376,144,37,Elegance,3,1,3,0,4,4,138,431,167,25,GLORFINDEL,2,5,3,0,3,20,402,337,154,51,LeonStrife,3,2,3,0,3,22,345,390,145,35,PLSNERF,1,4,2,0,4,9,444,382,151,37,Samoose,4,2,3,0,2,23,166,321,112,20,JediMaster,4,3,3,0,3,54,370,376,183,34,Sharknado,2,4,3,0,3,30,730,328,125,38,Zero,2,2,2,1,3,14,130,266,152,32
Ben,4,0,3,0,2,18,296,245,164,47,King,3,2,3,0,5,18,356,456,172,22,Samoose,3,3,3,0,3,22,396,408,179,36,Sheik,2,2,3,0,3,29,256,287,110,39,marcman!,4,3,3,0,3,55,370,345,133,51,CDJ,3,1,2,1,2,54,165,261,144,27,thread.spk,1,2,2,0,5,6,309,377,129,44,XY-10,1,3,2,0,3,30,358,334,146,33,US8,4,2,3,0,2,16,225,279,156,43
Precision,1,2,2,0,4,55,363,384,146,55,Zero,2,3,2,0,5,18,459,408,189,32,King,3,2,3,0,3,22,181,511,193,17,KingONerds,1,7,2,0,3,29,399,254,119,33,JediMaster,3,3,3,0,4,4,233,436,162,22,MM500,2,4,3,0,4,27,537,288,117,36,Samoose,2,3,3,0,5,6,437,365,139,35,Zenith,4,2,3,0,3,24,220,345,159,28,KingONerds,1,2,1,0,3,14,286,312,173,37
MM500,3,1,3,0,4,28,360,392,140,27,Elite V,4,2,3,0,3,29,265,368,139,24,Precision,1,2,2,0,5,12,463,335,154,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
