1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Ben,1,2,3,0,2,53,253,239,173,36,Pawn,2,1,3,0,2,24,164,284,111,33,RABBITEART,2,0,3,0,1,42,103,237,127,23,Ben,1,2,1,1,2,21,344,233,156,46,US8,2,3,3,0,3,27,205,451,174,22,Precision,2,2,3,0,2,48,287,328,151,47,CDJ,2,1,3,1,3,0,183,420,178,25,Vars,1,1,3,0,4,16,262,428,174,46
Altinator,1,3,1,0,3,11,424,257,145,29,Force,1,5,1,1,3,11,537,135,74,55,Altinator,1,1,2,1,3,39,168,351,130,25,marcman!,1,3,1,1,2,21,410,185,129,47,Precision,1,3,2,0,3,27,220,337,164,41,Jasuni,1,4,2,0,3,3,394,282,114,56,Ben,1,3,1,0,3,0,450,170,94,34,Fox,2,1,3,0,2,36,198,384,147,35
Pawn,2,4,3,1,3,11,197,337,134,29,Altinator,2,1,3,1,3,11,220,427,163,21,US8,1,4,2,1,3,39,302,352,195,33,NINJAGOLDO,2,0,3,1,1,48,202,328,143,44,Varz,1,2,2,1,3,27,202,348,139,40,US8,2,0,3,0,3,3,82,403,168,23,Force,1,2,1,0,3,0,288,161,141,47,PLSNERF,1,4,2,1,4,16,543,308,116,42
Sharknado,2,0,3,0,1,58,192,309,114,31,Varz,1,0,2,0,3,11,182,284,115,31,marcman!,2,2,3,1,3,39,345,424,170,33,VIO,2,0,3,0,2,21,107,340,150,17,XY-10,2,0,3,1,1,58,147,262,127,33,Force,1,2,1,1,3,3,419,188,129,35,youngster,2,1,3,0,1,13,96,273,131,31,Sharknado,1,2,2,0,4,16,408,379,149,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMZ,2,1,3,0,1,48,134,263,111,25,Szeth,2,1,4,1,4,10,208,395,120,32,Precision,1,3,2,2,3,16,490,238,104,44,TAG,1,4,2,0,3,13,431,280,163,51,REDPANTS,1,4,2,0,4,10,530,371,149,43,Nemesis,1,5,1,1,2,33,675,212,138,53,ANIME,2,1,3,0,2,32,209,329,138,47,KingONerds,1,1,1,0,3,41,263,198,151,43
Sheik,1,3,2,0,2,22,279,238,110,48,REDPANTS,1,1,3,1,2,26,272,317,154,32,Varz,2,1,3,0,3,6,189,302,130,29,Fox,2,1,3,0,2,49,299,386,137,45,Sharknado,2,5,3,1,4,10,462,444,197,33,Altinator,2,0,3,0,1,42,148,306,106,26,Nemesis,1,5,2,1,3,32,512,309,160,44,Precision,1,4,1,0,3,41,350,144,114,48
CDJ,1,2,2,0,2,22,285,252,95,36,US8,1,4,2,0,4,10,417,368,163,34,CDJ,2,2,3,0,3,16,243,344,160,32,Pawn,1,1,2,1,3,13,185,268,140,35,Sheik,1,1,3,0,3,8,217,312,136,47,CDJ,2,2,3,0,2,33,220,393,127,34,Sharknado,1,1,2,1,3,32,346,273,130,33,Pawn,2,2,3,0,3,41,278,337,143,36
US8,2,3,3,1,2,22,349,319,116,37,Fernando,2,3,2,0,3,24,342,293,162,36,Pawn,1,3,3,0,3,3,188,288,137,46,youngster,2,2,3,1,3,13,328,176,161,26,Fox,2,0,3,0,2,47,162,407,168,33,XY-10,1,1,2,0,2,33,205,13,161,51,Pawn,2,1,3,0,3,32,203,423,158,26,LalafellPrincess,2,0,2,1,2,14,92,280,153,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youngster,1,2,3,1,2,22,267,300,110,38,Nemesis,2,2,3,0,4,48,468,418,158,39,Ben,1,2,2,0,4,0,383,343,150,39,JMZ,1,1,3,0,3,1,189,392,189,30,Samoose,2,0,3,0,3,35,202,436,209,22,MM500,2,4,3,1,5,11,444,306,130,38,Borkins,1,4,2,1,4,34,564,240,144,35,Samoose,2,1,3,1,4,27,412,399,151,34
ZERO,1,3,1,1,3,32,381,239,135,61,Jasuni,1,1,2,0,5,15,205,409,158,40,REDPANTS,2,1,4,0,4,0,321,382,122,28,Nemesis,1,5,2,1,4,47,611,343,126,41,MM500,1,4,2,1,3,35,201,395,160,26,REDPANTS,2,1,3,0,4,59,178,278,140,25,Jasuni,2,3,3,0,4,34,177,388,153,51,US8,1,4,2,1,4,27,390,407,171,32
Fox,2,1,3,1,3,32,314,415,151,35,CDJ,2,2,3,0,5,15,296,369,140,19,MM500,2,3,2,1,3,46,336,320,175,29,Szeth,2,2,3,0,3,40,294,388,161,38,Altinator,2,3,3,0,1,45,204,239,108,29,ZERO,1,3,2,0,5,11,264,274,103,32,Sheik,1,2,3,1,4,25,293,296,144,34,SOTRH,2,2,3,0,4,27,429,373,169,34
BLOODBUNNY,2,1,3,0,2,6,86,281,114,30,Sheik,1,5,2,0,5,15,441,374,159,43,Sheik,1,3,2,0,4,0,376,311,161,37,KingONerds,2,2,3,0,4,47,266,406,147,30,Ben,1,2,2,0,3,35,340,310,110,32,Player 4,1,2,3,0,2,32,106,345,127,27,JMZ,2,0,3,0,3,14,144,333,158,24,Force,2,2,3,0,3,52,329,444,162,36
